"Topic","RankOrder_ImportantceforWord","Word"
"Topic 1",1,"asset"
"Topic 1",2,"property"
"Topic 1",3,"hair"
"Topic 1",4,"assets"
"Topic 1",5,"sand"
"Topic 1",6,"properties"
"Topic 1",7,"dressing"
"Topic 1",8,"embodiment"
"Topic 1",9,"hairs"
"Topic 1",10,"used"
"Topic 1",11,"example"
"Topic 1",12,"insurance"
"Topic 1",13,"tariff"
"Topic 1",14,"turf"
"Topic 1",15,"herein"
"Topic 1",16,"final"
"Topic 1",17,"hint"
"Topic 1",18,"inventions"
"Topic 1",19,"applied"
"Topic 1",20,"application"
"Topic 1",21,"mortgage"
"Topic 1",22,"described"
"Topic 1",23,"present"
"Topic 1",24,"nanostructures"
"Topic 1",25,"defined"
"Topic 1",26,"digital"
"Topic 1",27,"particular"
"Topic 1",28,"inquiry"
"Topic 1",29,"area"
"Topic 1",30,"spray"
"Topic 1",31,"animation"
"Topic 1",32,"using"
"Topic 1",33,"action"
"Topic 1",34,"auto"
"Topic 1",35,"grass"
"Topic 1",36,"reference"
"Topic 1",37,"different"
"Topic 1",38,"number"
"Topic 1",39,"proposal"
"Topic 1",40,"insured"
"Topic 1",41,"selected"
"Topic 1",42,"figs"
"Topic 1",43,"refers"
"Topic 1",44,"closing"
"Topic 1",45,"effects"
"Topic 1",46,"curve"
"Topic 1",47,"inventors"
"Topic 1",48,"aggregate"
"Topic 1",49,"embodiments"
"Topic 1",50,"provided"
"Topic 1",51,"soil"
"Topic 1",52,"also"
"Topic 1",53,"including"
"Topic 1",54,"type"
"Topic 1",55,"provide"
"Topic 1",56,"sprayer"
"Topic 1",57,"include"
"Topic 1",58,"previously"
"Topic 1",59,"clumping"
"Topic 1",60,"opticalelectrical"
"Topic 1",61,"corresponding"
"Topic 1",62,"animated"
"Topic 1",63,"clump"
"Topic 1",64,"term"
"Topic 1",65,"blend"
"Topic 1",66,"surface"
"Topic 1",67,"however"
"Topic 1",68,"hints"
"Topic 1",69,"rating"
"Topic 1",70,"review"
"Topic 1",71,"illustrating"
"Topic 1",72,"applications"
"Topic 1",73,"contemplate"
"Topic 1",74,"pipeline"
"Topic 1",75,"like"
"Topic 1",76,"types"
"Topic 1",77,"topdressing"
"Topic 1",78,"thus"
"Topic 1",79,"shows"
"Topic 1",80,"representative"
"Topic 1",81,"invention"
"Topic 1",82,"optimization"
"Topic 1",83,"rendered"
"Topic 1",84,"areas"
"Topic 1",85,"utilized"
"Topic 1",86,"chargingrelated"
"Topic 1",87,"overcoat"
"Topic 1",88,"determine"
"Topic 1",89,"shot"
"Topic 1",90,"combing"
"Topic 1",91,"cache"
"Topic 1",92,"upon"
"Topic 1",93,"widget"
"Topic 1",94,"user"
"Topic 1",95,"control"
"Topic 1",96,"general"
"Topic 1",97,"lender"
"Topic 1",98,"blending"
"Topic 1",99,"created"
"Topic 1",100,"active"
"Topic 2",1,"compartment"
"Topic 2",2,"boundary"
"Topic 2",3,"pathway"
"Topic 2",4,"compartments"
"Topic 2",5,"vessel"
"Topic 2",6,"contour"
"Topic 2",7,"operation"
"Topic 2",8,"figure"
"Topic 2",9,"forming"
"Topic 2",10,"main"
"Topic 2",11,"embodiment"
"Topic 2",12,"plurality"
"Topic 2",13,"operations"
"Topic 2",14,"striplike"
"Topic 2",15,"cooking"
"Topic 2",16,"defined"
"Topic 2",17,"especially"
"Topic 2",18,"shown"
"Topic 2",19,"method"
"Topic 2",20,"block"
"Topic 2",21,"example"
"Topic 2",22,"original"
"Topic 2",23,"shape"
"Topic 2",24,"line"
"Topic 2",25,"wheel"
"Topic 2",26,"breaker"
"Topic 2",27,"preform"
"Topic 2",28,"oddnumbered"
"Topic 2",29,"shaped"
"Topic 2",30,"boundaries"
"Topic 2",31,"wherein"
"Topic 2",32,"exemplary"
"Topic 2",33,"middle"
"Topic 2",34,"riser"
"Topic 2",35,"required"
"Topic 2",36,"evennumbered"
"Topic 2",37,"andor"
"Topic 2",38,"pathways"
"Topic 2",39,"cylinder"
"Topic 2",40,"widths"
"Topic 2",41,"decoration"
"Topic 2",42,"star"
"Topic 2",43,"used"
"Topic 2",44,"defining"
"Topic 2",45,"antistatic"
"Topic 2",46,"respective"
"Topic 2",47,"production"
"Topic 2",48,"half"
"Topic 2",49,"indexing"
"Topic 2",50,"form"
"Topic 2",51,"desired"
"Topic 2",52,"toaster"
"Topic 2",53,"record"
"Topic 2",54,"move"
"Topic 2",55,"basic"
"Topic 2",56,"particular"
"Topic 2",57,"quantization"
"Topic 2",58,"illustrated"
"Topic 2",59,"style"
"Topic 2",60,"three"
"Topic 2",61,"plane"
"Topic 2",62,"position"
"Topic 2",63,"positioned"
"Topic 2",64,"sequence"
"Topic 2",65,"also"
"Topic 2",66,"based"
"Topic 2",67,"vessels"
"Topic 2",68,"blur"
"Topic 2",69,"numerals"
"Topic 2",70,"grating"
"Topic 2",71,"indexed"
"Topic 2",72,"static"
"Topic 2",73,"hologram"
"Topic 2",74,"preparing"
"Topic 2",75,"fryer"
"Topic 2",76,"view"
"Topic 2",77,"invention"
"Topic 2",78,"different"
"Topic 2",79,"ones"
"Topic 2",80,"diffraction"
"Topic 2",81,"formed"
"Topic 2",82,"fept"
"Topic 2",83,"decision"
"Topic 2",84,"assigned"
"Topic 2",85,"interference"
"Topic 2",86,"pots"
"Topic 2",87,"definitive"
"Topic 2",88,"accessprovisioning"
"Topic 2",89,"regard"
"Topic 2",90,"masked"
"Topic 2",91,"generator"
"Topic 2",92,"wheels"
"Topic 2",93,"perfluoroalkyl"
"Topic 2",94,"addition"
"Topic 2",95,"continuous"
"Topic 2",96,"motifs"
"Topic 2",97,"cutgate"
"Topic 2",98,"cylinders"
"Topic 2",99,"index"
"Topic 2",100,"contours"
"Topic 3",1,"network"
"Topic 3",2,"access"
"Topic 3",3,"connection"
"Topic 3",4,"wireless"
"Topic 3",5,"address"
"Topic 3",6,"protocol"
"Topic 3",7,"communication"
"Topic 3",8,"interface"
"Topic 3",9,"networks"
"Topic 3",10,"communications"
"Topic 3",11,"gateway"
"Topic 3",12,"traffic"
"Topic 3",13,"router"
"Topic 3",14,"information"
"Topic 3",15,"example"
"Topic 3",16,"session"
"Topic 3",17,"internet"
"Topic 3",18,"associated"
"Topic 3",19,"devices"
"Topic 3",20,"services"
"Topic 3",21,"also"
"Topic 3",22,"ethernet"
"Topic 3",23,"point"
"Topic 3",24,"using"
"Topic 3",25,"home"
"Topic 3",26,"block"
"Topic 3",27,"communicate"
"Topic 3",28,"protocols"
"Topic 3",29,"within"
"Topic 3",30,"method"
"Topic 3",31,"connected"
"Topic 3",32,"connections"
"Topic 3",33,"packets"
"Topic 3",34,"addresses"
"Topic 3",35,"local"
"Topic 3",36,"endpoint"
"Topic 3",37,"request"
"Topic 3",38,"diagram"
"Topic 3",39,"hardware"
"Topic 3",40,"described"
"Topic 3",41,"include"
"Topic 3",42,"tunnel"
"Topic 3",43,"wired"
"Topic 3",44,"received"
"Topic 3",45,"based"
"Topic 3",46,"configured"
"Topic 3",47,"response"
"Topic 3",48,"shown"
"Topic 3",49,"processor"
"Topic 3",50,"receive"
"Topic 3",51,"wifi"
"Topic 3",52,"area"
"Topic 3",53,"ieee"
"Topic 3",54,"used"
"Topic 3",55,"another"
"Topic 3",56,"functions"
"Topic 3",57,"send"
"Topic 3",58,"embodiment"
"Topic 3",59,"computer"
"Topic 3",60,"present"
"Topic 3",61,"will"
"Topic 3",62,"established"
"Topic 3",63,"management"
"Topic 3",64,"invention"
"Topic 3",65,"includes"
"Topic 3",66,"implemented"
"Topic 3",67,"andor"
"Topic 3",68,"routers"
"Topic 3",69,"software"
"Topic 3",70,"coupled"
"Topic 3",71,"path"
"Topic 3",72,"forwarding"
"Topic 3",73,"routing"
"Topic 3",74,"interfaces"
"Topic 3",75,"selection"
"Topic 3",76,"memory"
"Topic 3",77,"support"
"Topic 3",78,"data"
"Topic 3",79,"available"
