,0,1
0,2  ,"[u'vest', u'helmet', u'ballist', u'wetsuit', u'armor', u'wearer', u'visor', u'garment', u'welder', u'bomb', u'goggl', u'torso', u'strap', u'shirt', u'waist', u'headgear', u'brim', u'protect', u'forehead', u'don', u'shoulder', u'knit', u'protector', u'worn', u'neck', u'respir', u'bullet', u'militari', u'fabric', u'front', u'ey', u'blast', u'injuri', u'attach', u'cover', u'sport', u'comfort', u'sew']"
1,507,"[u'subterranean', u'viscosifi', u'proppant', u'oligoglycerol', u'fractur', u'wellbor', u'viscoelast', u'drill', u'surfact', u'gell', u'barit', u'fluid', u'nanofil', u'organophil', u'format', u'oil', u'aqueou', u'vess', u'polyboron', u'oleagin', u've', u'brine', u'diallyl', u'pumicit', u'kiln', u'gravel', u'mud', u'eor', u'asphalten', u'winsor', u'cement', u'clai', u'emplac', u'acrylamid', u'nanoemuls']"
2,70 ,"[u'padlock', u'shackl', u'handcuff', u'hasp', u'lock', u'unlock', u'theft', u'briefcas', u'secur', u'antitheft', u'latch', u'tumbler', u'engag', u'deadbolt', u'kei', u'hoop', u'door', u'lockingli', u'unauthor', u'dial', u'merchandis', u'stolen', u'ratchet', u'lockabl', u'bracelet', u'open', u'posit', u'pawl', u'mechan', u'rotat', u'hous', u'cabl', u'lockout', u'releas', u'disengag', u'bolt', u'tamper', u'close', u'move', u'member', u'bodi', u'prevent', u'tighten', u'knob', u'movabl', u'apertur', u'cam', u'unlatch']"
3,81 ,"[u'wrench', u'ratchet', u'tong', u'pawl', u'corkscrew', u'screwdriv', u'tattoo', u'handl', u'engag', u'tool', u'hex', u'socket', u'cork', u'teeth', u'rotat', u'hammer', u'head', u'grip', u'jaw', u'nut', u'bottl', u'pry', u'spinner', u'drive', u'stripper', u'counterclockwis', u'pivot', u'clockwis', u'loosen', u'gear', u'bulb', u'dustproof', u'screw', u'tighten', u'fasten', u'grasp', u'end', u'member', u'torqu', u'notch', u'tooth', u'groov', u'spring', u'shaft', u'nail', u'bodi', u'claw', u'slot', u'bolt', u'mechan']"
4,345,"[u'displai', u'touch', u'pixel', u'panel', u'imag', u'screen', u'graphic', u'drive', u'input', u'crystal', u'grai', u'render', u'voltag', u'signal', u'lumin', u'lcd', u'driver', u'backlight', u'line', u'scan', u'light', u'bright', u'gestur', u'data', u'devic', u'gpu', u'control', u'capacit', u'correspond', u'3d', u'shader', u'sens', u'color', u'circuit', u'output', u'emit', u'stylu', u'dimension', u'object', u'unit', u'plural', u'mous', u'gradat', u'keyboard', u'touchscreen', u'accord', u'transistor', u'liquid', u'touchpad', u'each']"
5,346,"[u'dryer', u'laundri', u'drum', u'cloth', u'drier', u'dry', u'air', u'cabinet', u'blower', u'dri', u'heater', u'wrinkl', u'duct', u'hot', u'steam', u'heat', u'door', u'rear', u'condens', u'front', u'nozzl', u'ceil', u'wash', u'suppli', u'pass', u'applianc', u'exhaust', u'compressor', u'support', u'outlet', u'interior', u'water', u'evapor', u'cycl', u'bent', u'accommod', u'therethrough', u'therein', u'chamber', u'space', u'rotat', u'machin', u'21']"
6,347,"[u'ink', u'eject', u'inkjet', u'printhead', u'head', u'nozzl', u'print', u'jet', u'printer', u'droplet', u'liquid', u'record', u'medium', u'carriag', u'platen', u'piezoelectr', u'discharg', u'imag', u'cartridg', u'suppli', u'dot', u'pagewidth', u'apparatu', u'direct', u'convey', u'chamber', u'scan', u'pigment', u'convei', u'onto', u'form', u'wipe', u'includ', u'unit', u'member', u'tank', u'drop', u'ejector', u'color', u'roller', u'which', u'pressur', u'surfac', u'paper', u'path', u'fluid', u'move', u'posit', u'drive', u'than']"
7,340,"[u'rfid', u'alarm', u'tag', u'reader', u'alert', u'warn', u'transpond', u'monitor', u'vehicl', u'sensor', u'interrog', u'signal', u'identif', u'detect', u'radio', u'remot', u'system', u'transmit', u'commun', u'antenna', u'inform', u'audibl', u'indic', u'receiv', u'theft', u'devic', u'wireless', u'fob', u'locat', u'control', u'determin', u'transmitt', u'wirelessli', u'frequenc', u'notif', u'oper', u'sens', u'park', u'rf', u'statu', u'respons', u'keyless', u'ea', u'haptic', u'electron', u'data', u'user', u'person', u'when', u'telemetri']"
8,341,"[u'analog', u'adc', u'dac', u'digit', u'sigma', u'convert', u'delta', u'sar', u'input', u'mdac', u'output', u'quantiz', u'signal', u'convers', u'bit', u'sampl', u'snapov', u'keyboard', u'tiadc', u'circuit', u'clock', u'inl', u'capacitor', u'amplifi', u'voltag', u'\u03b4\u03c3', u'oversampl', u'tdc', u'pipelin', u'code', u'huffman', u'interleav', u'refer', u'mismatch', u'compar', u'success', u'calibr', u'stage', u'msb', u'\u03c3\u03b4', u'keypad', u'switch', u'valu', u'binari', u'encod', u'feedback', u'cdac', u'decod', u'convertor', u'nyquist']"
9,342,"[u'radar', u'satellit', u'gnss', u'antenna', u'ephemeri', u'gp', u'doppler', u'glonass', u'fmcw', u'multistat', u'ionospher', u'pseudorang', u'signal', u'clutter', u'rover', u'navig', u'monopuls', u'azimuth', u'receiv', u'frequenc', u'almanac', u'galileo', u'bistat', u'geoloc', u'ambigu', u'wave', u'estim', u'phase', u'sidelob', u'global', u'ttff', u'reflect', u'aoa', u'subarrai', u'sar', u'tdoa', u'transmit', u'echo', u'radio', u'orbit', u'fdoa', u'determin', u'radionavig', u'spss', u'doa', u'rf', u'transmitt', u'kalman', u'arriv', u'calcul']"
