,0,1
0,370400,"[u'node', u'rout', u'dag', u'peer', u'destin', u'l2', u'entri', u'network', u'perceiv', u'router']"
1,370255,"[u'topolog', u'dht', u'discov', u'node', u'discoveri', u'network', u'graph', u'mesh', u'neighbor', u'self', u'learn', u'rout', u'tabl']"
2,370254,"[u'topolog', u'discoveri', u'network', u'enrolle', u'discov', u'configur', u'node', u'lcd', u'connect', u'virtual', u'rout', u'survei', u'advertis', u'devic', u'queri', u'registrar', u'commiss', u'address', u'sensor', u'automat', u'ad', u'manag', u'f_port', u'identifi', u'tabl', u'social', u'mesh', u'router', u'vpn', u'autom', u'list', u'panel', u'overlai', u'store', u'other', u'join', u'hoc', u'name', u'infer', u'reconfigur', u'wp', u'updat', u'each', u'creat', u'set', u'fcoe', u'link', u'driven', u'fcf', u'princip']"
3,370256,"[u'tree', u'span', u'root', u'stp', u'bpdu', u'topolog', u'rstp', u'bridg', u'vertex', u'leaf', u'port', u'node', u'parent', u'child', u'cloud', u'superior', u'instanc', u'possess', u'vlan', u'descend', u'loop', u'network', u'shortest', u'protocol', u'intermedi', u'multicast', u'link', u'forward', u'vertic']"
4,370252,"[u'measur', u'determin', u'qualiti', u'estim', u'calcul', u'paramet', u'monitor', u'report', u'base', u'valu', u'nois', u'threshold', u'metric', u'power', u'interfer', u'cqi', u'channel', u'feedback', u'rate', u'analyz', u'test', u'result', u'obtain', u'user', u'statist', u'perform', u'strength', u'method', u'loss', u'adjust', u'compar', u'collect', u'adapt', u'evalu', u'analysi', u'set', u'apparatu', u'accur', u'level', u'satisfi', u'probe', u'condit', u'comput', u'ratio', u'meet', u'characterist', u'record', u'equip', u'chang', u'csi']"
5,257347,"[u'soi', u'fin', u'etsoi', u'box', u'gate', u'finfet', u'drain', u'insul', u'buri', u'sourc', u'min', u'channel', u'region', u'fet', u'silicon', u'abut', u'halo', u'oxid', u'transistor', u'spacer', u'stressor', u'merg', u'substrat', u'wrap', u'method', u'dielectr', u'effect', u'extens', u'harmon', u'readabl', u'epitaxi', u'over', u'form', u'semiconductor', u'bodi', u'bulk', u'field', u'wafer', u'begin', u'practic', u'parasit', u'etch', u'capacit', u'isotrop', u'implant', u'layer', u'isol', u'shallow', u'fabric', u'materi']"
6,424450,"[u'liposom', u'lipid', u'antiinfect', u'encapsul', u'phosphatidylcholin', u'micel', u'vesicl', u'rub', u'lecithin', u'prophylaxu', u'amphipath', u'chlorophyllin', u'nanolipid', u'unencapsul', u'passeng', u'nlp', u'interior', u'nebul', u'ln', u'take', u'phospholipid', u'polyanion', u'stick', u'deliveri', u'monolay', u'bilay', u'preload', u'ointment', u'cargo', u'lotion', u'drug', u'nitric', u'load', u'concomitantli', u'carbidopa', u'ultrasound', u'pulmonari', u'gradient', u'lamellar']"
7,370401,"[u'gatewai', u'bridg', u'translat', u'router', u'connect', u'network', u'address', u'ip', u'lrn', u'rout', u'port', u'protocol', u'internet', u'interfac', u'privat', u'nat', u'residenti', u'server', u'ethernet', u'between', u'virtual', u'java', u'local', u'switch', u'home', u'devic', u'mediat', u'dsr', u'gatekeep', u'servic', u'mgc', u'keepal', u'regist', u'media', u'reflector', u'packet', u'convert', u'manag', u'through', u'border', u'interwork', u'remot', u'associ']"
8,235383,"[u'checkout', u'shop', u'cart', u'sale', u'item', u'purchas', u'shopper', u'sell', u'commod', u'mall', u'retail', u'submiss', u'environ', u'custom', u'self', u'merchandis', u'fulfil', u'rebat', u'clerk', u'pecuniari', u'bui', u'product', u'weigh', u'shelf', u'redempt', u'weight', u'onlin', u'architectur', u'displai', u'ship', u'touch', u'coupon', u'discount', u'point', u'deni', u'pickup', u'categori', u'price', u'video', u'warn', u'bring', u'criteria', u'retriev', u'system', u'area', u'outcom', u'site', u'embodi', u'matter', u'automat']"
9,235380,"[u'card', u'credit', u'payment', u'transact', u'fund', u'issuer', u'negoti', u'account', u'earn', u'purchas', u'merchant', u'user', u'partner', u'entiti', u'loyalti', u'authent', u'us', u'associ', u'quantiti', u'identifi', u'access', u'program', u'monetari', u'servic', u'vender', u'good', u'debit', u'request', u'honor', u'number', u'provid', u'cardhold', u'approv', u'commerc', u'gift', u'prepaid', u'comput', u'convers', u'mai', u'author', u'secur', u'convert', u'issu', u'reward', u'avail', u'legal', u'point', u'person', u'enrol', u'store']"
10,235385,"[u'inventori', u'misus', u'dealership', u'cabinet', u'rack', u'shelv', u'span', u'track', u'manag', u'rail', u'stock', u'car', u'theater', u'worker', u'pharmaci', u'traceabl', u'steril', u'product', u'tag', u'databas', u'memor', u'immedi', u'audit', u'fuel', u'shelf', u'replenish', u'temporari', u'associ', u'item', u'identifi', u'usag', u'consumpt', u'inspect', u'report', u'procedur', u'medic', u'futur', u'shipment', u'harvest', u'substanc', u'prescript', u'voucher', u'expens', u'bin']"
11,348373,"[u'dome', u'dslr', u'eng', u'disassembl', u'slidabl', u'mount', u'studio', u'hous', u'upgrad', u'rotat', u'open', u'member', u'benefit', u'modular', u'commerci', u'hole', u'pivot', u'univers', u'cover', u'arm', u'support', u'elast', u'camera', u'dispos', u'bodi', u'modul', u'varieti', u'shell', u'attach', u'shaft', u'slot', u'forc', u'connect', u'bracket', u'assembl', u'len', u'joint', u'recess', u'extend', u'bond', u'contact', u'preserv', u'end', u'compact', u'hing', u'expos', u'groov', u'front']"
12,399 12,"[u'genuin', u'rad', u'identif', u'inform', u'cartridg', u'memori', u'label', u'identifi', u'replac', u'earth', u'authent', u'new', u'store', u'cru', u'valid', u'charact', u'r1', u'r2', u'confirm', u'readabl', u'slit', u'k', u'reader', u'chip', u'notif', u'determin', u'type', u'custom', u'usag', u'storag', u'whether', u'transvers', u'mount', u'consum', u'recycl', u'among', u'instal', u'concern', u'unus', u'id', u'read', u'indic', u'program', u'match', u'product', u'recogn', u'bodi', u'data', u'prohibit', u'rotation']"
13,348374,"[u'board', u'adhes', u'mount', u'packag', u'member', u'barrel', u'hous', u'shock', u'surfac', u'side', u'holder', u'outer', u'fix', u'substrat', u'len', u'hole', u'protrus', u'inner', u'modul', u'cover', u'groov', u'dispos', u'seal', u'plate', u'circuit', u'print', u'open', u'heat', u'bend', u'accommod', u'bodi', u'opposit', u'elast', u'agent', u'claw', u'pcb', u'portion', u'support', u'flexibl', u'socket', u'quad', u'lid', u'screw', u'camera', u'face', u'element', u'form', u'wire', u'metal', u'against']"
14,323271,"[u'upper', u'purpos', u'lower', u'cutoff', u'field', u'switch', u'driver', u'nitrid', u'suffici', u'applic', u'high', u'loop', u'between', u'side', u'inner', u'low', u'pwm', u'synchron', u'buck', u'interpos', u'opposit', u'make', u'disabl', u'first', u'mode', u'convert', u'cycl', u'manner', u'connect', u'iii', u'transistor', u'pfm', u'inductor', u'structur', u'stage', u'off', u'final', u'detector']"
15,D 7629,[]
