,0,1
0,2  ,"[u'vest', u'helmet', u'ballist', u'armor', u'garment', u'suit', u'visor', u'protect', u'weld', u'face', u'protector', u'mask', u'bodi', u'wear', u'sport', u'ey', u'shield', u'releas', u'guard', u'quick', u'impact', u'hard', u'fabric', u'safeti', u'cover', u'water', u'flexibl', u'carrier']"
1,507,"[u'subterranean', u'viscoelast', u'proppant', u'surfact', u'eor', u'gell', u'fluid', u'oligoglycerol', u'kiln', u'fractur', u'drill', u'viscosifi', u'oil', u'cement', u'wellbor', u'well', u'addit', u'emulsifi', u'guar', u'clai', u'format', u'emuls', u'hydrat', u'composit', u'shale', u'mud', u'oilfield', u'agglomer', u'zirconium', u'settabl', u'asphalten', u'swellabl', u'gel', u'particul', u'crosslink', u'hydrocarbon', u'slurri', u'thermoset', u'breaker', u'permeabl', u'corros', u'us', u'treatment', u'polym', u'microemuls', u'recoveri', u'dust', u'loss']"
2,70 ,"[u'padlock', u'handcuff', u'lock', u'hasp', u'shackl', u'theft', u'antitheft', u'secur', u'door', u'lockout', u'deterr', u'wrap', u'safe', u'tamper', u'combin', u'cabl', u'assembl', u'kei', u'enclosur', u'drawer', u'closur', u'indic', u'case', u'box', u'dual', u'anti', u'latch', u'guard', u'safeti', u'devic', u'portabl', u'pin', u'mechan', u'bicycl']"
3,81 ,"[u'ratchet', u'wrench', u'tong', u'screwdriv', u'corkscrew', u'hammer', u'pawl', u'stripper', u'tattoo', u'tool', u'changer', u'dustproof', u'tighten', u'bulb', u'open', u'screw', u'bolt', u'bottl', u'fasten', u'nut', u'cork', u'socket', u'finder', u'nail', u'strike', u'gear', u'extractor', u'vial', u'strip', u'torqu', u'grip', u'jaw', u'damag', u'sheath', u'customiz', u'tubular', u'hand', u'remov', u'revers', u'cap', u'strap', u'pipe', u'spin', u'wai', u'drill', u'wire', u'instal', u'turn', u'driven', u'rod']"
4,345,"[u'displai', u'touch', u'drive', u'crystal', u'panel', u'input', u'render', u'liquid', u'devic', u'pixel', u'graphic', u'touchscreen', u'screen', u'electron', u'mous', u'capacit', u'imag', u'method', u'driver', u'touchpad', u'stylu', u'gestur', u'electrophoret', u'backlight', u'color', u'apparatu', u'dimension', u'lcd', u'haptic', u'same', u'3d', u'shader', u'gpu', u'thereof', u'cursor', u'circuit', u'control', u'emit', u'light', u'organ', u'bright', u'keyboard', u'sens', u'charact', u'electro', u'three', u'tactil', u'interfac', u'realiti', u'program']"
5,346,"[u'dryer', u'laundri', u'drier', u'cloth', u'dry', u'airflow', u'air', u'applianc', u'nozzl', u'treat', u'door', u'heat', u'assembl', u'have', u'machin', u'medium']"
6,347,"[u'eject', u'inkjet', u'ink', u'printhead', u'jet', u'printer', u'print', u'head', u'liquid', u'droplet', u'record', u'apparatu', u'form', u'imag', u'discharg', u'cartridg', u'piezoelectr', u'nozzl', u'fluid', u'pagewidth', u'ejector', u'drop', u'transfix', u'scan', u'mainten', u'thermal', u'inkset', u'platen', u'suppli', u'superoleophob', u'carriag', u'eras', u'bubbl', u'unit', u'spittoon', u'tank', u'deinkabl', u'matter', u'convey', u'refil', u'exposur', u'curabl', u'set', u'method', u'coanda', u'element', u'medium', u'catcher', u'remanufactur', u'mark']"
7,340,"[u'rfid', u'tag', u'alarm', u'warn', u'monitor', u'alert', u'system', u'transpond', u'remot', u'reader', u'vehicl', u'identif', u'park', u'theft', u'detect', u'haptic', u'locat', u'indic', u'interrog', u'radio', u'telemetri', u'secur', u'notif', u'traffic', u'ea', u'track', u'asset', u'sensor', u'keyless', u'frequenc', u'collis', u'hazard', u'emerg', u'control', u'remind', u'meter', u'wireless', u'statu', u'commun', u'biometr', u'method', u'annunci', u'devic', u'tactil', u'surveil', u'antitheft', u'safeti', u'personnel', u'inform', u'audibl']"
8,341,"[u'analog', u'convert', u'adc', u'sigma', u'digit', u'dac', u'delta', u'success', u'approxim', u'convers', u'd', u'sar', u'huffman', u'keyboard', u'pipelin', u'keypad', u'interleav', u'calibr', u'compress', u'mdac', u'quantiz', u'oversampl', u'inl', u'\u03b4\u03c3', u'decod', u'input', u'decompress', u'encod', u'circuit', u'mismatch', u'compar', u'convertor', u'entropi', u'signal', u'time', u'cabac', u'code', u'serial', u'sampl', u'parallel', u'clockless', u'arithmet', u'glitch', u'data', u'nyquist', u'synchro', u'dnl', u'regist', u'dryer', u'vernier']"
9,342,"[u'radar', u'gnss', u'satellit', u'gp', u'fmcw', u'posit', u'glonass', u'ephemeri', u'antenna', u'clutter', u'monopuls', u'navig', u'multistat', u'locat', u'geoloc', u'receiv', u'global', u'ionospher', u'doppler', u'weather', u'sba', u'signal', u'apertur', u'millimet', u'sar', u'tdoa', u'arriv', u'wave', u'beamform', u'notabl', u'multipath', u'iff', u'bistat', u'radionavig', u'rtk', u'gpr', u'estim', u'ambigu', u'system', u'orbit', u'dry', u'detect', u'arrai', u'rang', u'target', u'sidelob', u'determin', u'frequenc', u'phase', u'track']"
