,0,1
0,370400,"[u'rout', u'steer', u'flood', u'calcul', u'databas', u'network', u'path', u'via', u'larg', u'aggreg', u'state', u'fabric', u'select', u'peer', u'updat', u'provid', u'associ', u'tabl', u'node', u'element', u'port', u'protocol', u'label']"
1,370255,"[u'topolog', u'network', u'discoveri', u'auto', u'configur', u'form', u'mesh', u'implement', u'distanc', u'privat', u'peer', u'rout', u'hoc', u'ad', u'self', u'node', u'learn', u'program', u'tabl', u'address', u'target']"
2,370254,"[u'discoveri', u'network', u'topolog', u'configur', u'survei', u'infer', u'discov', u'commiss', u'node', u'sensor', u'rout', u'provis', u'relationship', u'devic', u'virtual', u'tool', u'fibr', u'tabl', u'mesh', u'name', u'autonom', u'hoc', u'ad', u'storag', u'automat', u'gather', u'autom', u'logic', u'connect', u'switch', u'manag', u'repres', u'pathwai', u'port', u'cluster', u'merg', u'graph', u'consist', u'membership', u'simpl', u'host']"
3,370256,"[u'tree', u'span', u'rstp', u'infer', u'topolog', u'flood', u'state', u'creat', u'chassi', u'domain', u'network', u'protocol', u'multicast', u'loop', u'link', u'distribut', u'ring', u'forward', u'node', u'virtual', u'traffic', u'mpl', u'bridg', u'comput', u'clock', u'two', u'video', u'multi', u'peer']"
4,370252,"[u'measur', u'qualiti', u'estim', u'report', u'determin', u'monitor', u'metric', u'cqi', u'interfer', u'evalu', u'paramet', u'adapt', u'apparatu', u'feedback', u'method', u'autonegoti', u'loss', u'detect', u'power', u'test', u'analysi', u'indic', u'forecast', u'rate', u'verifi', u'perform', u'channel', u'configur', u'awar', u'usag', u'devic', u'geran', u'rise', u'program', u'veloc', u'basest', u'nois', u'state', u'select', u'analyz', u'carrier', u'proxim', u'modif', u'probe', u'inform', u'spectrum', u'commun', u'predefin', u'accur', u'ratio']"
5,257347,"[u'soi', u'insul', u'finfet', u'bodi', u'extrem', u'box', u'merg', u'fin', u'etsoi', u'effect', u'asymmetr', u'back', u'drain', u'field', u'mosfet', u'stressor', u'strain', u'ge', u'liner', u'transistor', u'buri', u'gate', u'fet', u'stress', u'contact', u'radio', u'recess', u'sourc', u'semiconductor', u'float', u'region', u'orient', u'silicon', u'parasit', u'bulk', u'implant', u'local', u'threshold', u'hybrid', u'isol', u'sram', u'shallow', u'form', u'thin', u'channel', u'extens', u'structur', u'enhanc', u'substrat', u'junction']"
6,424450,"[u'liposom', u'antiinfect', u'lipid', u'nanolipid', u'glutathion', u'lamellar', u'drug', u'encapsul', u'deliveri', u'pulmonari', u'phospholipid', u'micel', u'both', u'target', u'action', u'mucos', u'profil', u'sensit', u'blend', u'nano', u'copper', u'dual', u'anion', u'nitric', u'carrier']"
7,370401,"[u'gatewai', u'bridg', u'rout', u'network', u'migrat', u'residenti', u'translat', u'border', u'ethernet', u'interconnect', u'router', u'switch', u'provid', u'interwork', u'mediat', u'ip', u'nat', u'convert', u'media', u'function', u'home', u'simulcast', u'tunnel', u'hub', u'travers', u'implement', u'proxi', u'diamet', u'internet', u'servic', u'through', u'connect', u'domain', u'protocol']"
8,235383,"[u'checkout', u'retail', u'sale', u'shop', u'self', u'cart', u'suspici', u'discount', u'merchandis', u'advertis', u'point', u'promot', u'coupon', u'receipt', u'seller', u'video', u'shelf', u'commod', u'registr', u'purchas', u'kiosk', u'system', u'return', u'item', u'mobil', u'method', u'product', u'relat', u'environ', u'free', u'store', u'implement', u'recognit', u'termin', u'manag', u'inventori', u'visual', u'apparatu', u'analysi', u'displai', u'qualiti', u'support', u'locat']"
9,235380,"[u'card', u'credit', u'transact', u'negoti', u'payment', u'gift', u'fund', u'convers', u'loyalti', u'system', u'entiti', u'authent', u'prepaid', u'account', u'merchant', u'reward', u'techniqu', u'independ', u'non', u'financi', u'issuanc', u'time', u'game', u'program', u'function', u'method', u'secur', u'debit', u'author', u'assess', u'disput', u'chanc', u'expir', u'podcast', u'websit', u'earn', u'us', u'ident', u'purchas', u'commun', u'dynam', u'combin', u'custom', u'person', u'slot', u'global', u'date', u'transfer', u'center', u'subject']"
